datetime,score,addition_first_range,addition_second_range,multiplication_first_range,multiplication_first_range,duration
2025-03-18 12:32:05,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-18 12:32:53,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-19 14:12:37,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-19 14:13:12,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-19 14:13:49,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-19 18:52:45,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 11:06:25,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 14:13:48,11,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 14:14:22,9,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 14:14:58,17,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 14:21:28,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 14:22:03,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-20 14:22:43,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-21 14:42:01,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",302025-03-22 11:12:00,9,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-23 14:59:24,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-24 09:35:45,14,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-24 09:36:45,10,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-25 08:50:49,16,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-25 21:49:51,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-25 21:50:44,15,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-03-31 10:15:36,13,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
2025-04-18 16:40:24,7,"(2, 100)","(2, 100)","(2, 12)","(2, 100)",30
